Codigo_Estabelecimento;Nome_Estabelecimento;Total_Qtd_Produzida;Total_Qtd_Aprovada;Pct_Valor_Total;Valor_Total_Produzido;Valor_Total_Aprovado
2232030;FUNDACAO DE SAUDE PUBLICA SAO CAMILO DE ESTEIO;208116.0;208116.0;0.53;2392218.99;2392218.99
2244055;4 CRS SANTA MARIA;1506618.0;895677.0;0.53;2402600.49;2378861.49
2244101;HOSPITAL DE CARIDADE SAO ROQUE;115617.0;90798.0;0.51;2674156.74;2298725.76
2227665;HOSPITAL BOM PASTOR;139884.0;92241.0;0.5;2794552.38;2281619.43
2253046;UCPEL HOSPITAL UNIVERSITARIO SAO FRANCISCO DE PAULA;140793.0;140793.0;0.47;2129949.9;2129949.9
2778718;HPS;201045.0;201045.0;0.46;2101374.15;2101374.15
2265745;17 CRS IJUI;668034.0;537888.0;0.46;2089115.7;2089115.7
2257815;HOSPITAL SAO VICENTE DE PAULO;50151.0;44562.0;0.46;2112491.76;2087058.96
6389104;HOSPITAL DE SANTO ANTONIO DA PATRULHA;146541.0;88494.0;0.46;2732496.63;2080854.9
2237849;INSTITUTO DE CARDIOLOGIA;101289.0;101289.0;0.45;2034826.65;2034826.65
2252295;SOCIEDADE PORTUGUESA DE BENEFICENCIA;50889.0;50889.0;0.43;1965549.45;1965549.45
2232146;FUNDACAO DE SAUDE PUBLICA DE NOVO HAMBURGO FSNH;83643.0;83643.0;0.42;1912563.15;1912563.15
2263858;HOSPITAL DE CARIDADE SAO VICENTE DE PAULO;56376.0;37032.0;0.42;2140754.1;1902010.68
2227762;HOSPITAL SAO FRANCISCO DE ASSIS;126465.0;115734.0;0.41;1941767.97;1852829.28
2262584;CLINIRIM;13839.0;13839.0;0.38;1719519.15;1719519.15
2248204;SANTA CASA DE SAO GABRIEL;69648.0;60135.0;0.38;1838301.36;1709725.86
2262509;INSTITUTO SEGUMED PORTO ALEGRE;15411.0;15411.0;0.37;1660703.07;1660703.07
2236281;13 CRS SANTA CRUZ DO SUL;1205907.0;679095.0;0.36;1638478.14;1638478.14
2244357;HOSPITAL DE CARIDADE DE SANTIAGO;49863.0;47409.0;0.36;1672238.01;1625916.63
2262460;VITARIM CLINICA DO RIM;12681.0;12681.0;0.36;1623661.23;1623661.23
2700662;PRORENAL CLINICA DE DOENCAS RENAIS;6774.0;6774.0;0.36;1611541.5;1611541.5
2223155;CENTRAL DE EXAMES COMPLEMENTARES;287898.0;287898.0;0.36;1607561.31;1607561.31
2248239;HOSPITAL AUXILIADORA;61347.0;56139.0;0.35;1604561.97;1563101.67
3508528;HOSPITAL UNIVERSITARIO DE CANOAS;101736.0;101685.0;0.34;1550833.5;1548981.21
2248298;HOSPITAL IVAN GOULART;60978.0;57201.0;0.33;1535986.83;1504763.58
2249456;11 CRS ERECHIM;587907.0;441147.0;0.33;1476313.92;1476313.92
2228602;HOSPITAL DIVINA PROVIDENCIA FREDWEST;45285.0;35901.0;0.32;1537623.45;1459111.14
2707675;HOSPITAL UNIVERSITARIO DR MIGUEL RIET CORREA JUNIOR;136524.0;131814.0;0.32;1624620.96;1435951.5
2256029;CLINICA RENAL DR GATZ;12279.0;12279.0;0.32;1426658.82;1426658.82
3890295;LABORATORIO VIRVI RAMOS HOSPITAL;264144.0;264144.0;0.31;1410793.14;1410793.14
2237881;HOSPITAL BANCO DE OLHOS;61608.0;61608.0;0.31;1398180.93;1398180.93
2230577;CLINICA DE DIALISE DE CAMPO BOM LTDA;10779.0;10779.0;0.3;1367243.1;1367243.1
2231069;CLINICA DO RIM;21177.0;18318.0;0.3;1387708.41;1365478.56
5223962;HOSPITAL VIAMAO;175887.0;165393.0;0.29;1560662.31;1332592.53
2241048;HOSPITAL NOSSA SENHORA DA OLIVEIRA;57909.0;49659.0;0.29;1369980.15;1330643.58
2231506;PAM 8;167514.0;166872.0;0.29;1363452.96;1327426.56
6226523;LABORATORIO NOBEL S A;228627.0;228627.0;0.29;1304189.73;1304189.73
2248190;SANTA CASA DE URUGUAIANA;49884.0;43020.0;0.28;1393410.15;1286724.87
2254964;HOSPITAL SANTA CRUZ;96249.0;96249.0;0.28;1281272.97;1281272.97
2244969;HOSPITAL DE OLHOS LIONS PASSO FUNDO;47874.0;42477.0;0.28;1337130.48;1277202.51
2262770;CENTRO DE DIALISE E TRANSPLANTE LTDA;10224.0;10224.0;0.28;1273033.23;1273033.23
2229706;CLINICA DO RIM;10839.0;10839.0;0.28;1269917.22;1269917.22
2231042;NEFROCOR SERVICOS NEFROLOGIA E CARDIOLOGIA CACHOEIRINHA;22962.0;16536.0;0.28;1315873.53;1265178.33
2257548;HOSPITAL NOSSA SENHORA APARECIDA DE CAMAQUA;83508.0;80559.0;0.27;1287563.94;1234245.12
2248220;SANTA CASA DE MISERICORDIA;58824.0;57645.0;0.27;1243170.87;1233612.3
2252228;HOSPITAL BENEFICIENTE SANTA TEREZINHA;65793.0;65793.0;0.27;1230742.26;1230742.26
2232162;FUNDACAO HOSPITALAR GETULIO VARGAS;104811.0;104811.0;0.27;1214095.71;1214095.71
5118484;10 CRS ALEGRETE;792810.0;463104.0;0.27;1204818.21;1204818.21
2242397;CLINICA RENAL DE SANTA MARIA HOSPITAL DE CARIDADE MATRIZ;9666.0;9666.0;0.27;1191891.18;1199623.98
2255456;UNIRIM;9129.0;9129.0;0.26;1194638.64;1194638.64
2251981;16 CRS LAJEADO;1130718.0;829605.0;0.26;1181125.8;1181125.8
2242400;CLINICA RENAL DE SANTA MARIA CASA DE SAUDE;10131.0;10107.0;0.26;1181338.05;1180681.47
2260069;HOSPITAL SAO JOSE;50193.0;50193.0;0.26;1174840.35;1174840.35
7179634;ACD;26535.0;3831.0;0.26;1619217.24;1161781.2
2701146;NEFROCLIN;10743.0;10743.0;0.25;1123959.9;1139425.5
2227843;HEMODIALISE 1 SISTEMA DE SAUDE VILA NOVA;10506.0;10065.0;0.25;1145452.32;1137941.52
2248328;SANTA CASA DE ALEGRETE;44379.0;42294.0;0.25;1239448.08;1134916.08
2241161;HOSPITAL SAO JOAO BATISTA;48003.0;47565.0;0.25;1141703.37;1133013.96
2863626;OTHOS CLINICA;20004.0;9636.0;0.25;1535315.76;1115249.79
2259745;12 CRS SANTO ANGELO;809331.0;564849.0;0.24;1082516.94;1082516.94
6295320;AESC HOSPITAL SANTA ANA;23922.0;23922.0;0.24;1016801.1;1079998.38
3018865;AACD;10689.0;10689.0;0.23;1057710.9;1057710.9
2707934;HEMOPASSO HEMOCENTRO REGIONAL DE PASSO FUNDO;34014.0;34014.0;0.23;1043599.32;1043599.32
6832857;UNIDADE OFTALMOLOGICA CLELIA MANFRO;102372.0;102372.0;0.23;1043139.36;1043139.36
2261898;NEFRO RIM SUL;7953.0;7953.0;0.22;1009274.7;1009274.7
5554217;CISVALE;47598.0;47598.0;0.22;972683.22;972683.22
2226952;CENTRO NEFROLOGICO DE TAQUARA LTDA;11421.0;8100.0;0.21;987379.92;965080.32
2240335;HOSPITAL SAO CARLOS;74046.0;74046.0;0.21;941255.13;941255.13
2261995;HOSPITAL UNIVERSITARIO URCAMP;30291.0;30288.0;0.21;938283.9;938250.9
2262614;MASI LABORATORIOS LTDA;146604.0;146604.0;0.2;921886.32;921886.32
2707969;HOSPITAL SANTA LUZIA;81681.0;80205.0;0.2;906146.37;890999.52
2260557;CENTRO AUDITIVO PROAUDI;6156.0;6000.0;0.2;885566.94;883459.38
2707829;CUIDARE;7476.0;7476.0;0.19;879521.16;879521.16
9528792;HOSPITAL DE CHARQUEADAS;52680.0;47322.0;0.19;904905.72;874826.49
2236370;HOSPITAL SAO SEBASTIAO MARTIR;30141.0;30120.0;0.19;873992.22;873034.56
3345238;PRONTO OLHOS E OTORRINO;39369.0;39369.0;0.19;848200.71;848200.71
2246961;HOSPITAL FREI CLEMENTE SOLEDADE;50754.0;47046.0;0.19;908726.01;838300.41
2228505;2 CRS FREDERICO WESTPHALEN;552246.0;412698.0;0.18;831147.03;831147.03
2231778;IMAS HOSPITAL VIAMAO;6129.0;6129.0;0.18;828417.0;828417.0
2250837;HOSPITAL SAO VICENTE DE PAULO;80205.0;66594.0;0.18;959290.77;826822.92
5028264;ACADEF;7473.0;7389.0;0.18;823737.87;821649.87
7015887;UPA 24 H SANTA MARIA RS;134178.0;106374.0;0.17;911491.23;774068.4
2232103;HOSPITAL PADRE JEREMIAS;138504.0;122514.0;0.16;873993.33;734591.46
7608780;CIRENOR SANANDUVA;79380.0;77442.0;0.16;743873.52;731683.02
2227290;NEFROCLINICA LTDA;6486.0;6486.0;0.16;730282.5;730282.5
9116915;CER CENTRO DE REABILITACAO FISICA AUDITIVA E VISUAL;17238.0;2517.0;0.16;825053.73;721581.75
6424236;HRSJ HOSPITAL REGIONAL DE SAO JERONIMO;101274.0;77745.0;0.16;931311.96;712972.47
2265052;HOSPITAL FEMINA;69363.0;69363.0;0.16;709027.5;709027.5
2228726;HOSPITAL CARIDADE TRES PASSOS;84189.0;61734.0;0.16;901472.79;706302.12
2257645;HOSPITAL BENEFICENTE SAO PEDRO;48576.0;48576.0;0.16;700884.81;700884.81
2236362;HOSPITAL CANDELARIA;46878.0;46878.0;0.15;699854.91;699854.91
3164993;RAIO SOM DIAGNOSTICO POR IMAGEM;14868.0;14868.0;0.15;694495.8;694495.8
2237148;PRONTO ATENDIMENTO CRUZEIRO DO SUL;133302.0;133302.0;0.15;690866.97;690866.97
6224571;PROAUDI CLINICA DE AUDICAO;6732.0;6732.0;0.15;689450.4;689450.4
8006431;15 COORDENADORIA REGIONAL DE SAUDE;443766.0;402258.0;0.15;682812.3;682812.3
2232081;HOSPITAL ALVORADA;134724.0;113301.0;0.15;815719.29;682311.51
2237768;HEMOCENTRO DO ESTADO DO RIO GRANDE DO SUL HEMORGS;88092.0;58287.0;0.15;2159529.12;676527.42
2234351;8 CRS CACHOEIRA DO SUL;527919.0;413271.0;0.15;674806.11;674806.11
2230887;LABORATORIO PUBLICO MUNICIPAL NH;148884.0;148884.0;0.15;670116.51;670116.51
2241072;HOSPITAL SAO JOSE;12018.0;12018.0;0.15;669318.36;669318.36
2261960;7 CRS BAGE;334008.0;291576.0;0.15;658321.02;658321.02
5922216;HOSPITAL CASA DE SAUDE;73116.0;57615.0;0.15;984869.04;657640.77
7092571;HOSPITAL INDEPENDENCIA;49845.0;49845.0;0.14;652480.11;652480.11
2260204;POSTO CENTRAL SECRETARIA MUNICIPAL DA SAUDE IJUI;73920.0;70176.0;0.14;708236.31;651248.67
2839938;HUMANIZE DIALISE;4680.0;3348.0;0.14;646318.41;640315.35
0181927;HOSPITAL REGIONAL NELSON CORNETET;127785.0;59829.0;0.14;990628.86;639668.22
2793008;HOSPITAL TRAMANDAI;74241.0;58110.0;0.14;766439.91;638893.53
2232154;HOSPITAL SAPIRANGA;40281.0;34983.0;0.14;656177.58;619271.31
2260492;CISA;81666.0;80097.0;0.14;664630.2;614685.39
2793229;14 CRS SANTA ROSA;789522.0;603927.0;0.14;611372.01;611372.01
2254107;HEMOPEL;32382.0;32373.0;0.14;611586.15;611181.15
2257556;HM REGIONAL;57033.0;56952.0;0.14;611263.05;610638.36
2252244;HOSPITAL OURO BRANCO;89925.0;59970.0;0.13;870332.7;603685.17
7363559;UPA PADRE HONORINO JOAO MURARO;141408.0;136635.0;0.13;585811.8;582804.81
2233320;HOSPITAL PINHEIRO MACHADO;41649.0;38415.0;0.13;593075.85;566981.25
2792974;HOSPITAL REGIONAL DO VALE DO RIO PARDO;79968.0;75237.0;0.12;620808.3;561088.86
9995919;UPA CENTRAL 24HS;141816.0;141816.0;0.12;559806.54;559806.54
2232073;HOSPITAL DE CAMPO BOM DR LAURO REUS;123255.0;67686.0;0.12;1367022.69;547964.43
2246740;HOSPITAL SANTO ANTONIO;64023.0;56553.0;0.12;615721.29;547360.65
2223260;HEMOCENTRO REGIONAL HEMOCS;29931.0;29931.0;0.12;544192.53;544192.53
9552324;BARCELOS RIOS CONSULTORIA MEDICA LTDA;24942.0;24942.0;0.12;542156.31;542156.31
2249502;ACHA ARATIBA;50001.0;39891.0;0.12;664088.16;531712.17
3819590;HOSPITAL SAO PAULO;75306.0;56361.0;0.12;697310.52;529649.01
2262002;HOSPITAL SAO LUIZ;85881.0;83817.0;0.12;524930.7;524930.7
2233304;CND;3936.0;3936.0;0.12;522248.43;522248.43
2707950;HNSN IBSAUDE;62517.0;57471.0;0.12;549739.83;520536.42
2243474;PRONTO ATENDIMENTO MEDICO MUNICIPAL FLAVIO MIGUEL SCHNEIDER;99309.0;68664.0;0.11;522006.69;519021.51
0058807;CER IV NOVO HAMBURGO;31710.0;31710.0;0.11;511985.88;511985.88
2233401;SANTA CASA DE CARIDADE JAGUARAO;57966.0;55626.0;0.11;554093.43;507101.94
2247429;CLINICA RENAL DE URUGUAIANA;4041.0;4041.0;0.11;505029.03;505029.03
6537650;PRONTO ATENDIMENTO BOM JESUS;154353.0;154344.0;0.11;503611.59;503393.79
2263777;9 COORDENADORIA REGIONAL DE SAUDE;379854.0;283404.0;0.11;499319.19;499319.19
4066251;LABORATORIO LACEN;167970.0;167970.0;0.11;495648.36;495648.36
5699525;ASSO;20298.0;20241.0;0.11;492545.04;491701.56
2707632;HOSPITAL MUNICIPAL GETULIO VARGAS;87600.0;73095.0;0.11;618217.56;477882.75
2235609;HOSPITAL DE CANELA;58089.0;58089.0;0.1;466027.14;466027.14
9575936;HOSPITAL REGIONAL DE SANTA MARIA;49044.0;46344.0;0.1;495599.4;464340.03
2262754;LABORATORIO FELIPPE;76113.0;76113.0;0.1;460593.0;460593.0
2227770;HOSPITAL SAO FRANCISCO DE PAULA;32583.0;23049.0;0.1;518191.86;460532.01
2233312;SANTA CASA DE MISERIC S LOURENCO DO SUL;30759.0;27801.0;0.1;478191.09;459823.5
3008614;UNIVERSIDADE DE SANTA CRUZ DO SUL UNISC;8628.0;8628.0;0.1;459706.02;459706.02
4012798;CENTRO ESPECIALIZADO EM REABILITACAO SEBASTIAO LEAO FIALHO;10158.0;10158.0;0.1;459223.92;459223.92
2235323;HOSPITAL DE CARIDADE PALMEIRA DAS MISSOES;50991.0;46317.0;0.1;487679.4;457170.66
5258138;EDELWEISS CLINICA DE DIAGNOSTICOS;19392.0;19392.0;0.1;452873.19;452873.19
3526151;CLINICA OFTALMOLOGICA DE JAGUARAO;11196.0;7503.0;0.1;506135.34;448355.37
7770723;UNIDADE DE PRONTO ATENDIMENTO 24 HORAS UPA;96960.0;96960.0;0.1;447651.21;447651.21
2249510;HOSPITAL SAO ROQUE DE GETULIO VARGAS;28725.0;27840.0;0.1;475389.21;443785.35
2264153;LABORATORIO ANDRADAS LTDA;75666.0;75666.0;0.1;439259.91;439259.91
7884508;CENTRO ESPECIALIZADO EM REABILITACAO CER II;35124.0;6933.0;0.1;757149.09;437675.37
9162267;UPA ABILIO ALVES DOS SANTOS;75789.0;75648.0;0.1;436587.45;435231.45
4067622;UNIDADE DE PRONTO ATENDIMENTO DE SAPUCAIA DO SUL UPA;102666.0;102666.0;0.09;427723.56;427723.56
7052081;LABORATORIO DE ANALISES CLINICAS UNILAB;85245.0;85245.0;0.09;423476.76;423476.76
3996999;CONSORCIO INTERMUNICIPAL DA REGIAO CENTRO DO ESTADO RS;93036.0;50943.0;0.09;1205255.22;420001.68
2248271;HOSPITAL SAO PATRICIO DE ITAQUI;29271.0;25239.0;0.09;442882.68;417777.33
7492359;UPA ZONA NORTE;113277.0;113277.0;0.09;415457.58;415457.58
2707810;PRONTO ATENDIMENTO MUNICIPAL PAM;45024.0;43788.0;0.09;421507.29;409016.94
2237334;AMBULATORIO DE ESPECIALIDADES SANTA MARTA;33720.0;33720.0;0.09;401997.45;401997.45
2245183;LABORATORIO WIDAL PASSO FUNDO;67932.0;67917.0;0.09;400368.81;400191.33
6022138;UNIDADE DE SAUDE AUDITIVA CLELIA MANFRO;18204.0;18177.0;0.09;398804.79;398804.79
2264145;LABORATORIO LUTZ LTDA;71241.0;71241.0;0.09;398611.5;398611.5
7953917;UPA ZONA NORTE;61761.0;61761.0;0.09;398365.86;398365.86
2234386;HOSPITAL AGUDO;37728.0;24105.0;0.09;581375.43;396354.69
3259838;CLINICA DE FISIOTERAPIA DA UNIVERSIDADE DE CAXIAS DO SUL;10659.0;10659.0;0.09;395743.56;395743.56
7376421;UPA 24 HORAS GUAJUVIRAS;95007.0;95007.0;0.09;395675.46;395675.46
5477352;LABORATORIO SECRETARIA MUNICIPAL DE SAUDE;73803.0;73791.0;0.09;394992.57;394891.23
2235404;HOSPITAL COMUNITARIO SARANDI SISTEMA DE SAUDE VILA NOVA;25641.0;23334.0;0.08;393071.91;383537.07
2242257;LABIVIDA LABORATORIO DE ANALISES CLINICAS TUIUTI;69090.0;69090.0;0.08;377171.22;377171.22
2266431;INSTITUTO OFTALMOLOGIA;8091.0;7503.0;0.08;402078.09;376758.09
2693402;PRONTO ATENDIMENTO LOMBA DO PINHEIRO;102291.0;102291.0;0.08;369957.57;369957.57
7863551;LABORATORIO MONT SERRAT FILIAL 1;60894.0;60894.0;0.08;362742.9;362742.9
2261030;HOSPITAL BOM PASTOR IJUI;28596.0;22791.0;0.08;397568.79;358536.15
2254956;HOSPITAL SHP;17067.0;17067.0;0.08;355940.85;355940.85
2247186;UNIDADE MUNICIPAL DE SAUDE DE QUARAI;78555.0;78555.0;0.08;355120.8;355120.8
7384084;APAE;9129.0;9129.0;0.08;353704.47;353704.47
7927134;LABORATORIO MUNICIPAL DE BENTO GONCALVES;93831.0;93831.0;0.08;353475.12;353475.12
7176090;LAB ANATOP CITOP ZANELLA LTDA;6150.0;6150.0;0.08;348234.78;348234.78
9315292;UNIDADE DE PRONTO ATENDIMENTO UPA URUGUAIANA;73467.0;72273.0;0.08;362616.54;344084.34
2693380;LABORATORIO DE ANALISES CLINICAS E TOXICOLOGICAS;35340.0;35340.0;0.08;343807.17;343807.17
2252260;HOSPITAL ESTRELA;39519.0;39519.0;0.08;343539.45;343539.45
2237385;AMBULATORIO DE ESPECIALIDADES IAPI;29382.0;29382.0;0.08;343458.0;343458.0
2234416;HOSPITAL DE CARIDADE DR VICTOR LANG;65346.0;42231.0;0.08;584017.89;341175.93
7040229;CLINICA DE FISIOTERAPIA VIDA EM MOVIMENTO;28638.0;28638.0;0.08;341008.2;341008.2
5610699;LABORATORIO SANTA HELENA LTDA;48621.0;48621.0;0.07;336644.85;336644.85
2793237;ASSOCIACAO HOSPITALAR MANOEL FRANCISCO GUERREIRO;33822.0;33354.0;0.07;344089.65;335689.65
7936850;UPA 24 HORAS SAPIRANGA;96171.0;70239.0;0.07;361402.44;332350.86
3513416;LABORATORIO EDELWEISS LTDA;12564.0;12564.0;0.07;330873.78;330873.78
0382698;UPA DR MOISES ELI MAGRISSO;74181.0;74181.0;0.07;330760.53;330760.53
2693399;LABORATORIO SANTA HELENA;55797.0;55797.0;0.07;326063.61;326063.61
6867294;UPA 24 HORAS CANUDOS NH IRMAO ANTONIO BORTOLINI;58173.0;58173.0;0.07;321729.15;321729.15
2246953;HOSPITAL CRISTO REDENTOR MARAU;59988.0;36945.0;0.07;652653.27;320973.3
6140254;HEMOCENTRO REGIONAL DE SANTA MARIA HEMOSM;14901.0;14901.0;0.07;320682.45;320682.45
9602208;LABORATORIO NOBEL S A;57756.0;57756.0;0.07;318978.66;318978.66
2233347;HOSPITAL DE CARIDADE NOSSA SENHORA DA CONCEICAO PIRATINI;56808.0;51783.0;0.07;350957.82;317982.3
2707977;HOSPITAL COMUNITARIO SAO PEREGRINO LAZZIOZI;31335.0;31335.0;0.07;316117.05;316117.05
9243038;UNIDADE DE PRONTO ATENDIMENTO UPA;60723.0;60723.0;0.07;307915.83;307915.83
2259893;HOSPITAL SAO LUIZ GONZAGA;46668.0;38688.0;0.07;490651.26;306941.67
9361413;UPA CENTRO;55569.0;55569.0;0.07;306870.6;306870.6
5323789;CER CENTRO ESPECIALIZADO EM REABILITACAO SAO BORJA;1857.0;1845.0;0.07;303142.56;303142.56
4174844;ANALYSIS LABORATORIO;48720.0;48720.0;0.07;296248.74;296248.74
2228688;HOSPITAL COMUNITARIO NONOAI;34215.0;31458.0;0.07;311037.96;295852.32
0874930;UPA 24 HORAS CAPAO DA CANOA;78555.0;78555.0;0.07;295767.06;295767.06
2241153;HOSPITAL ARCANJO SAO MIGUEL;48510.0;48510.0;0.07;294501.84;294501.84
4342380;UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS;69885.0;69885.0;0.06;293014.5;293014.5
2243032;PRONTO SOCORRO MUNICIPAL;76428.0;69057.0;0.06;344639.88;290370.48
5844762;INSTITUTO DE DOENCAS RENAIS LTDA;2199.0;2199.0;0.06;289136.58;289136.58
9610480;UPA SANTO ANGELO;39759.0;39759.0;0.06;286946.58;286946.58
3053563;CENTRO DE REFERENCIA EM ESPECIALIDADES MUNICIPAL;16023.0;13287.0;0.06;374861.25;286214.85
7325460;LABORATORIO FONTANA;46020.0;46020.0;0.06;282775.35;282775.35
7548486;CENTRO MEDICO CAPILE;16578.0;16194.0;0.06;281356.98;281356.98
2262851;CBR CLINICA BEIRA RIO LTDA;15339.0;15339.0;0.06;277491.51;277491.51
3899632;LABORATORIO LAPLACE;45936.0;45936.0;0.06;276224.1;276224.1
2233398;IRMANDADE S CASA DE MISERICORDIA DE S V PALMAR;30444.0;29253.0;0.06;345869.4;275852.88
2257467;HOSPITAL DR OSWALDO DIESEL;35559.0;32547.0;0.06;311619.78;275742.24
6835414;LABORATORIO FONTANA;45525.0;45525.0;0.06;275742.09;275742.09
2223562;HOSPITAL VIRVI RAMOS;12171.0;12171.0;0.06;272649.06;272649.06
2252198;HOSPITAL SAO JOSE ARROIO DO MEIO;26850.0;26262.0;0.06;319361.61;272472.36
2225573;COMPLEXO MUNICIPAL DE SAUDE DR EBLING;42516.0;30981.0;0.06;378635.58;271799.76
7021909;UPA 24 HORAS VACARIA;45456.0;45456.0;0.06;271167.45;271167.45
6491383;LABORATORIO SANTA HELENA II;44136.0;44136.0;0.06;270983.61;270983.61
6672272;DISIUTA E MARTINS RADIOLOGIA;21123.0;21123.0;0.06;270690.45;270690.45
2242281;LABORATORIO CENTRAL;54429.0;52479.0;0.06;280975.44;270334.2
2242001;LABORATORIO PASIN;53511.0;53511.0;0.06;270075.6;270075.6
3742458;LABORATORIO BIOANALISYS;45579.0;45579.0;0.06;269938.47;269938.47
2244322;HOSPITAL SANTO ANTONIO;151611.0;35199.0;0.06;1053989.55;269852.34
5327776;CENTRO DE ESPECIALIDADES MUNICIPAL;26613.0;26613.0;0.06;265713.57;265713.57
7499914;UPA 24 HORAS VENANCIO AIRES;65622.0;58851.0;0.06;270730.44;264474.48
2228971;NUCLEO DE ANALISES CLINICAS LTDA GRAVATAI;39849.0;39849.0;0.06;261561.54;261561.54
8008612;LABORATORIO CONTE;42528.0;42528.0;0.06;261312.21;261312.21
6590543;CER III UNIR;10467.0;2301.0;0.06;360235.68;259579.35
6269680;INSTITUTO DE ANATOMIA PATOLOGIA E CITOPATOLOGIA DKJ;8802.0;8802.0;0.06;259482.93;259482.93
2257564;FUNDACAO HOSPITALAR DO ROLANTE;38757.0;28182.0;0.06;327972.03;258790.77
2246996;HOSPITAL MUNICIPAL PASSO FUNDO;105999.0;57522.0;0.06;690734.31;258560.82
7713118;PRONTO ATENDIMENTO 24 HORAS;50031.0;50031.0;0.06;255840.21;255840.21
2239248;CENTRO ESPECIALIZADO DE SAUDE;29217.0;29217.0;0.06;253954.11;253954.11
7054254;UPA 24 HORAS RIO BRANCO;51096.0;51096.0;0.06;252471.27;252471.27
7897162;UNIDADE DE PRONTO ATENDIMENTO TRAMANDAI;55020.0;55020.0;0.06;251210.22;251210.22
6489249;COMAJA;125190.0;13968.0;0.06;1320969.6;251044.53
2223066;ETHICA;44253.0;44253.0;0.06;250949.85;250949.85
2818361;POLICLINICA MUNICIPAL DE URUGUAIANA;59619.0;59619.0;0.06;250914.84;250914.84
2234432;HOSPITAL SANTA BARBARA;26502.0;26499.0;0.06;250189.89;250158.6
